date,symbol,supply_apy,borrow_apy,utilization
2026-05-01,USDC,3.3938821394334955,4.095490765880781,91.720888
2026-05-08,USDC,12.145230838343439,13.544099077481198,101.001803
2026-05-15,USDC,11.01435060725644,12.397134833183285,99.858716
2024-05-24,USDT,6.681096797787085,8.52177313516682,86.899571
2024-05-31,USDT,6.635508289111796,8.492649180264145,86.587814
2024-06-07,USDT,6.539431385096807,8.430941579975828,85.936436
2024-06-14,USDT,6.943725975356228,8.687651140603457,88.61469
2024-06-21,USDT,4.829774096418241,7.24551892732917,73.48824900000001
2024-06-28,USDT,4.793194539656087,7.218028861707033,73.191005
2024-07-05,USDT,5.147006894515025,7.479687634807602,75.892732
2024-07-12,USDT,5.475499620124881,7.714680824165618,78.312432
2024-07-19,USDT,5.82987839389694,7.960417288806111,80.89167499999999
2024-07-26,USDT,4.21195715259481,5.750207042257173,80.891213
2024-08-02,USDT,4.220084652653246,5.75575224166633,80.96894999999999
2024-08-09,USDT,4.140851005808803,5.701463022870187,80.06844
2024-08-16,USDT,3.8008848223355463,5.462404593533455,76.527722
2024-08-23,USDT,3.820495998862325,5.476478468522428,76.700574
2024-08-30,USDT,3.724699651064662,5.407383095986786,75.700325
2024-09-06,USDT,3.58107539510213,5.302104001772174,74.122231
2024-09-13,USDT,2.6186834188150847,4.170687741379176,68.66166700000001
2024-09-20,USDT,3.034666229521793,4.489744656453955,74.224567
2024-09-27,USDT,3.616797513487363,4.901491728491358,81.38508300000001
2024-10-04,USDT,3.931889614278389,5.110540504627053,85.017197
2024-10-11,USDT,3.598375425037427,4.888992965780531,81.183279
2024-10-18,USDT,4.096104281622666,5.216169299451182,87.011598
2024-10-25,USDT,3.7881060721996427,5.0162276996423785,83.509064
2024-11-01,USDT,4.306012541842036,5.348152981559905,89.300894
2024-11-08,USDT,4.7401376156775274,5.723321978062448,91.968389
2024-11-15,USDT,4.1776942114216675,5.267863348133902,87.897165
2024-11-22,USDT,5.296911376670072,6.390636847201687,92.034798
2024-11-29,USDT,4.525281477522412,5.482630469728974,91.623284
2024-12-06,USDT,15.860019845858918,18.862385551247527,93.38849
2024-12-13,USDT,8.13489205006896,9.77627803189223,92.369292
2024-12-20,USDT,9.353325304474886,11.882911364438089,87.175747
2024-12-27,USDT,8.223398772711546,11.1420605308471,81.509491
2025-01-03,USDT,7.805994216023129,10.855602957922665,79.301871
2025-01-10,USDT,7.327817621418621,10.517854630286152,76.693536
2025-01-17,USDT,7.15142749525395,10.180563675102222,77.308965
2025-01-24,USDT,6.8793855166598945,9.985050794657106,75.749543
2025-01-31,USDT,5.558922598649609,8.786766089670186,69.24490800000001
2025-02-07,USDT,6.084069523263217,9.192440677038825,72.555921
2025-02-14,USDT,3.6314135467032607,6.45482524579256,61.10780999999999
2025-02-21,USDT,4.4518468885211275,7.146884176415615,67.987302
2025-02-28,USDT,3.3561742822986282,6.205387218668915,58.434565000000006
